Item type,Authors,Title,Date published
Journal Article,"Kangal F,Mengi E",Nonsmooth algorithms for minimizing the largest eigenvalue with applications to inner numerical radius,2020
Journal Article,"Boegli S,Marletta M",Essential numerical ranges for linear operator pencils,2020
Journal Article,"Ali M,Nouy A",Singular value decomposition in Sobolev spaces: Part II,2020
Journal Article,"Bustamante MD,Mellon P,Velasco MV",Solving the problem of simultaneous diagonalization of complex symmetric matrices via congruence,2020
Journal Article,"Usevich K,Li J,Comon P",Approximate matrix and tensor diagonalization by unitary transformations: convergence of Jacobi-type algorithms,2020
Journal Article,"Locsi L,Nemeth Z",On the construction of $p$-eigenvectors,2020
Journal Article,"Zhang Y,Huang H,Yang M,Ling Y,Li J,Qiu B",New zeroing neural dynamics models for diagonalization of symmetric matrix stream,2020
Journal Article,Cicone A,Iterative filtering as a direct method for the decomposition of nonstationary signals,2020
Journal Article,"Yoon GH,Donoso A,Bellido JC,Ruiz D",Highly efficient general method for sensitivity analysis of eigenvectors with repeated eigenvalues without passing through adjacent eigenvectors,2020
Journal Article,Uhlig F,Coalescing eigenvalues and crossing eigencurves of 1-parameter matrix flows,2020
Journal Article,"Campos C,Roman JE",Inertia-based spectrum slicing for symmetric quadratic eigenvalue problems,2020
Journal Article,"Song G,Ng M,Zhang X",Robust tensor completion using transformed tensor singular value decomposition,2020
Journal Article,"Miao J,Cheng GH,Li W,Moreau E",A unitary joint diagonalization algorithm for nonsymmetric higher-order tensors based on Givens-like rotations,2020
Journal Article,"Zeng C,Ng M","Decompositions of third-order tensors: HOSVD, T-SVD, and beyond",2020
Journal Article,"Zhao R,Zheng B,Liang M,Xu Y",A locally and cubically convergent algorithm for computing $\Cal Z$-eigenpairs of symmetric tensors,2020
Journal Article,"Huang Z,Suo YY,Wang J",On $Q$-tensors,2020
Journal Article,"Fazekas I,Pecsora S",Numerical results on noisy blown-up matrices,2020
Journal Article,Uhlig F,Zhang neural networks for fast and accurate computations of the field of values,2020
Journal Article,"Das B,Bora S",Nearest matrix polynomials with a specified elementary divisor,2020
Journal Article,"Bebiano N,Furtado S",Approximating the eigenvalues and eigenvectors of birth and death matrices,2020
Journal Article,"Camps D,Mach T,Vandebril R,Watkins D",On pole-swapping algorithms for the eigenvalue problem,2020
Journal Article,"Singer S,Di Napoli E,Novakovic V,Caklovic G",The LAPW method with eigendecomposition based on the Hari-Zimmermann generalized hyperbolic SVD,2020
Journal Article,"Ferreira C,Parlett B",Eigenpairs of Wilkinson matrices,2020
Journal Article,Jia Z,"Regularization properties of LSQR for linear discrete ill-posed problems in the multiple singular value case and best, near best and general low rank approximations",2020
Journal Article,"Ahmad SS,Kanhya P",Perturbation analysis on matrix pencils for two specified eigenpairs of a semisimple eigenvalue with multiplicity two,2020
Journal Article,"Reitberger G,Sauer T",Background subtraction using adaptive singular value decomposition,2020
